Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,>.500,<.500,playoffs,lcs,ws,champs
1,WSN,NL,162,98,64,0.605,4.5,3.7,0.8,-0.2,0.7,96-66,2,8-Oct,50-31,48-33,13-7,27-21,69-45,29-19,48-40,50-24,1,0,0,0
2,CIN,NL,162,97,65,0.599,4.1,3.6,0.5,-0.3,0.2,91-71,6,8-Jul,50-31,47-34,7-Jul,31-21,65-47,32-18,40-36,57-29,1,0,0,0
3,NYY,AL,162,95,67,0.586,5,4.1,0.8,0.2,1.1,95-67,0,13-5,51-30,44-37,3-Jun,22-25,58-43,37-24,47-44,48-23,1,1,0,0
4,SFG,NL,162,94,68,0.58,4.4,4,0.4,-0.2,0.2,88-74,6,8-Jul,48-33,46-35,5-Aug,30-20,54-49,40-19,44-42,50-26,1,1,1,1
5,OAK,AL,162,94,68,0.58,4.4,3.8,0.6,0.2,0.8,92-70,2,8-Oct,50-31,44-37,5-Nov,25-18,64-39,30-29,47-44,47-24,1,0,0,0
6,ATL,NL,162,94,68,0.58,4.3,3.7,0.6,-0.1,0.5,92-70,2,10-Aug,48-33,46-35,4-Jul,25-13,64-37,30-31,45-41,49-27,1,0,0,0
7,TEX,AL,162,93,69,0.574,5,4.4,0.6,0.1,0.8,91-71,2,14-4,50-31,43-38,5-Aug,24-22,65-50,28-19,43-43,50-26,1,0,0,0
8,BAL,AL,162,93,69,0.574,4.4,4.4,0,0.3,0.3,82-80,11,7-Nov,47-34,46-35,16-2,29-9,67-51,26-18,44-43,49-26,1,0,0,0
9,TBR,AL,162,90,72,0.556,4.3,3.6,0.7,0.2,0.9,95-67,-5,9-Sep,46-35,44-37,7-May,21-27,63-49,27-23,45-42,45-30,0,0,0,0
10,LAA,AL,162,89,73,0.549,4.7,4.3,0.4,0.2,0.7,88-74,1,6-Dec,46-35,43-38,4-Mar,18-18,62-51,27-22,49-47,40-26,0,0,0,0
11,DET,AL,162,88,74,0.543,4.5,4.1,0.3,0,0.4,87-75,1,7-Nov,50-31,38-43,5-Apr,21-27,62-49,26-25,40-34,48-40,1,1,1,0
12,STL,NL,162,88,74,0.543,4.7,4,0.7,-0.3,0.4,93-69,-5,7-Aug,50-31,38-43,12-Jun,21-26,57-57,31-17,39-40,49-34,1,1,0,0
13,LAD,NL,162,86,76,0.531,3.9,3.7,0.2,-0.1,0.1,86-76,0,9-Jun,45-36,41-40,7-Aug,29-27,50-50,36-26,41-50,45-26,0,0,0,0
14,CWS,AL,162,85,77,0.525,4.6,4.2,0.4,0,0.4,88-74,-3,9-Sep,45-36,40-41,9-May,26-21,62-53,23-24,33-39,52-38,0,0,0,0
15,MIL,NL,162,83,79,0.512,4.8,4.5,0.3,-0.3,0,85-77,-2,9-Jun,49-32,34-47,11-Jul,24-32,57-58,26-21,32-41,51-38,0,0,0,0
16,ARI,NL,162,81,81,0.5,4.5,4.2,0.3,-0.2,0.1,86-76,-5,6-Sep,41-40,40-41,4-Mar,15-27,49-50,32-31,38-45,43-36,0,0,0,0
