,team,wins,losses,win_loss_pct,runs,runs_allowed,run_diff,home_win_diff,road_win_diff,one_run_win_diff,vs_rhp,vs_lhp,vs_over_500,vs_under_500,playoffs,lcs,ws,champs,year
0,CHC,103,58,0.64,5.0,3.4,1.6,33,12,-1,34,11,6,39,1,1,1,1,2016
1,TEX,95,67,0.586,4.7,4.7,0.0,25,3,25,25,3,29,-1,1,0,0,0,2016
2,WSN,95,67,0.586,4.7,3.8,0.9,19,9,7,22,6,2,26,1,0,0,0,2016
3,CLE,94,67,0.584,4.8,4.2,0.6,25,2,7,16,11,5,22,1,1,1,0,2016
4,BOS,93,69,0.574,5.4,4.3,1.1,13,11,-4,21,3,7,17,1,0,0,0,2016
5,LAD,91,71,0.562,4.5,3.9,0.5,25,-5,2,22,-2,5,15,1,1,0,0,2016
6,TOR,89,73,0.549,4.7,4.1,0.6,11,5,-4,12,4,13,3,1,1,0,0,2016
7,BAL,89,73,0.549,4.6,4.4,0.2,19,-3,5,16,0,-1,17,1,0,0,0,2016
8,NYM,87,75,0.537,4.1,3.8,0.3,7,5,3,11,1,0,12,1,0,0,0,2016
9,SFG,87,75,0.537,4.4,3.9,0.5,9,3,1,4,8,-6,18,1,0,0,0,2016
10,DET,86,75,0.534,4.7,4.5,0.2,10,1,9,9,2,-15,26,0,0,0,0,2016
11,STL,86,76,0.531,4.8,4.4,0.4,-5,15,1,14,-4,-11,21,0,0,0,0,2016
12,SEA,86,76,0.531,4.7,4.4,0.4,7,3,0,20,-10,-3,13,0,0,0,0,2016
13,HOU,84,78,0.518,4.5,4.3,0.1,5,1,3,5,1,-14,20,0,0,0,0,2016
14,NYY,84,78,0.518,4.2,4.3,-0.1,15,-9,12,7,-1,-2,8,0,0,0,0,2016
15,KCR,81,81,0.5,4.2,4.4,-0.2,13,-13,-2,1,-1,-15,15,0,0,0,0,2016
16,MIA,79,82,0.491,4.1,4.2,-0.2,0,-3,-2,-13,10,-11,8,0,0,0,0,2016
17,PIT,78,83,0.484,4.5,4.7,-0.2,-4,-1,-1,-16,11,-13,8,0,0,0,0,2016
18,CWS,78,84,0.481,4.2,4.4,-0.2,9,-15,-6,-8,2,-10,4,0,0,0,0,2016
19,COL,75,87,0.463,5.2,5.3,-0.1,3,-15,-7,-2,-10,0,-12,0,0,0,0,2016
20,LAA,74,88,0.457,4.4,4.5,-0.1,-1,-13,-3,-13,-1,-22,8,0,0,0,0,2016
21,MIL,73,89,0.451,4.1,4.5,-0.4,1,-17,-5,-27,11,-19,3,0,0,0,0,2016
22,PHI,71,91,0.438,3.8,4.9,-1.1,-7,-13,5,-20,0,-22,2,0,0,0,0,2016
23,ARI,69,93,0.426,4.6,5.5,-0.9,-15,-9,5,-25,1,-22,-2,0,0,0,0,2016
24,OAK,69,93,0.426,4.0,4.7,-0.7,-13,-11,-3,-14,-10,-15,-9,0,0,0,0,2016
25,ATL,68,93,0.422,4.0,4.8,-0.8,-19,-6,-1,-10,-15,-22,-3,0,0,0,0,2016
26,TBR,68,94,0.42,4.1,4.4,-0.3,-9,-17,-14,-18,-8,-27,1,0,0,0,0,2016
27,CIN,68,94,0.42,4.4,5.3,-0.9,-5,-21,-5,-20,-6,-30,4,0,0,0,0,2016
28,SDP,68,94,0.42,4.2,4.8,-0.5,-3,-23,-12,-25,-1,-18,-8,0,0,0,0,2016
29,MIN,59,103,0.364,4.5,5.5,-1.0,-21,-23,-14,-40,-4,-40,-4,0,0,0,0,2016
0,STL,100,62,0.617,4.0,3.2,0.8,29,9,9,31,7,15,23,1,0,0,0,2015
1,PIT,98,64,0.605,4.3,3.7,0.6,25,9,19,30,4,10,24,1,0,0,0,2015
2,CHC,97,65,0.599,4.3,3.8,0.5,17,15,13,26,6,12,20,1,1,0,0,2015
3,KCR,95,67,0.586,4.5,4.0,0.5,21,7,6,24,4,4,24,1,1,0,0,2015
4,TOR,93,69,0.574,5.5,4.1,1.4,25,-1,-13,19,5,20,4,1,1,1,0,2015
5,LAD,92,70,0.568,4.1,3.7,0.4,29,-7,-3,16,6,-9,31,1,0,0,0,2015
6,NYM,90,72,0.556,4.2,3.8,0.4,17,1,1,14,4,-10,28,1,1,1,1,2015
7,TEX,88,74,0.543,4.6,4.5,0.1,5,9,5,10,4,12,2,1,0,0,0,2015
8,NYY,87,75,0.537,4.7,4.3,0.4,9,3,-1,8,4,-7,19,1,0,0,0,2015
9,HOU,86,76,0.531,4.5,3.8,0.7,25,-15,-8,11,-1,-1,11,1,0,0,0,2015
10,LAA,85,77,0.525,4.1,4.2,-0.1,17,-9,18,5,3,-10,18,0,0,0,0,2015
11,SFG,84,78,0.518,4.3,3.9,0.4,13,-7,-9,6,0,-4,10,0,0,0,0,2015
12,WSN,83,79,0.512,4.3,3.9,0.4,11,-7,0,-3,7,-9,13,0,0,0,0,2015
13,MIN,83,79,0.512,4.3,4.3,0.0,11,-7,1,2,2,-4,8,0,0,0,0,2015
14,CLE,81,80,0.503,4.2,4.0,0.2,-2,3,-3,8,-7,-5,6,0,0,0,0,2015
15,BAL,81,81,0.5,4.4,4.3,0.1,16,-16,-1,1,-1,-14,14,0,0,0,0,2015
16,TBR,80,82,0.494,4.0,4.0,0.0,0,-2,-4,-9,7,-12,10,0,0,0,0,2015
17,ARI,79,83,0.488,4.4,4.4,0.0,-3,-1,-4,-1,-3,-21,17,0,0,0,0,2015
18,BOS,78,84,0.481,4.6,4.6,0.0,5,-11,1,-2,-4,-15,9,0,0,0,0,2015
19,SEA,76,86,0.469,4.0,4.5,-0.4,-9,-1,-1,0,-10,-14,4,0,0,0,0,2015
20,CWS,76,86,0.469,3.8,4.3,-0.5,-1,-9,-1,-10,0,-12,2,0,0,0,0,2015
21,DET,74,87,0.46,4.3,5.0,-0.7,-5,-8,4,-17,4,-8,-5,0,0,0,0,2015
22,SDP,74,88,0.457,4.0,4.5,-0.5,-3,-11,1,-12,-2,-17,3,0,0,0,0,2015
23,MIA,71,91,0.438,3.8,4.2,-0.4,1,-21,2,-15,-5,-14,-6,0,0,0,0,2015
24,MIL,68,94,0.42,4.0,4.5,-0.5,-13,-13,0,-25,-1,-25,-1,0,0,0,0,2015
25,OAK,68,94,0.42,4.3,4.5,-0.2,-13,-13,-16,-9,-17,-17,-9,0,0,0,0,2015
26,COL,68,94,0.42,4.5,5.2,-0.7,-9,-17,-4,-5,-21,-24,-2,0,0,0,0,2015
27,ATL,67,95,0.414,3.5,4.7,-1.2,3,-31,10,-18,-10,-24,-4,0,0,0,0,2015
28,CIN,64,98,0.395,4.0,4.7,-0.7,-13,-21,-11,-22,-12,-27,-7,0,0,0,0,2015
29,PHI,63,99,0.389,3.9,5.0,-1.1,-7,-29,-11,-34,-2,-25,-11,0,0,0,0,2015
0,LAA,98,64,0.605,4.8,3.9,0.9,23,11,5,26,8,-2,36,1,0,0,0,2014
1,BAL,96,66,0.593,4.4,3.7,0.7,19,11,9,27,3,11,19,1,1,0,0,2014
2,WSN,96,66,0.593,4.2,3.4,0.8,21,9,4,19,11,0,30,1,0,0,0,2014
3,LAD,94,68,0.58,4.4,3.8,0.6,9,17,5,16,10,-7,33,1,0,0,0,2014
4,STL,90,72,0.556,3.8,3.7,0.1,21,-3,9,15,3,6,12,1,1,0,0,2014
5,DET,90,72,0.556,4.7,4.4,0.3,9,9,3,12,6,10,8,1,0,0,0,2014
6,KCR,89,73,0.549,4.0,3.9,0.2,3,13,-3,13,3,-1,17,1,1,1,0,2014
7,SFG,88,74,0.543,4.1,3.8,0.3,9,5,-4,14,0,-4,18,1,1,1,1,2014
8,PIT,88,74,0.543,4.2,3.9,0.3,21,-7,2,7,7,-6,20,1,0,0,0,2014
9,OAK,88,74,0.543,4.5,3.5,1.0,15,-1,-7,15,-1,4,10,1,0,0,0,2014
10,SEA,87,75,0.537,3.9,3.4,0.5,1,11,-9,3,9,10,2,0,0,0,0,2014
11,CLE,85,77,0.525,4.1,4.0,0.1,15,-7,4,8,0,-11,19,0,0,0,0,2014
12,NYY,84,78,0.518,3.9,4.1,-0.2,5,1,4,2,4,-4,10,0,0,0,0,2014
13,TOR,83,79,0.512,4.5,4.2,0.2,11,-7,-5,3,1,-6,10,0,0,0,0,2014
14,MIL,82,80,0.506,4.0,4.1,0.0,3,-1,4,-2,4,0,2,0,0,0,0,2014
15,ATL,79,83,0.488,3.5,3.7,-0.1,3,-7,-3,-8,4,-6,2,0,0,0,0,2014
16,NYM,79,83,0.488,3.9,3.8,0.1,-1,-3,-3,-5,1,-19,15,0,0,0,0,2014
17,SDP,77,85,0.475,3.3,3.6,-0.3,15,-23,12,-6,-2,-7,-1,0,0,0,0,2014
18,MIA,77,85,0.475,4.0,4.2,-0.2,3,-11,6,-12,4,-10,2,0,0,0,0,2014
19,TBR,77,85,0.475,3.8,3.9,-0.1,-9,1,2,-4,-4,-12,4,0,0,0,0,2014
20,CIN,76,86,0.469,3.7,3.8,-0.1,7,-17,-16,-10,0,0,-10,0,0,0,0,2014
21,CWS,73,89,0.451,4.1,4.7,-0.6,-1,-15,4,-15,-1,-14,-2,0,0,0,0,2014
