Team,Avg. Ticket,Pct. Change,Avg. Premium Seat,Beer,Beer Oz,Soft Drink,Soft Drink Oz,Hot Dog,Parking,Program,Cap,FCI,Pct. Change
Boston Red Sox,$53.38 ,0.00%,$172.51 ,$7.25 ,12,$4.00 ,20,$4.50 ,$27.00 ,$5.00 ,$18.99 ,$336.99 ,0.00%
New York Yankees,51.55,0.00%,305.11,6,12,3,12,3,35,5,25,324.3,-0.30%
Chicago Cubs,46.3,-1.30%,103.98,7,16,4,15,5,25,5,15,300.29,-0.90%
Philadelphia Phillies,37.42,0.00%,79.82,7.75,21,4,20,3.75,15,5,17.99,257.16,0.00%
Toronto Blue Jays,24.81,0.00%,58.52,7.19,14,4.96,24,5.2,14.87,4.96,18.92,216.89,0.10%
San Francisco Giants,27.21,8.70%,82.45,6.25,16,4.25,16,5,20,5,17.99,224.32,7.80%
Washington Nationals,30.54,0.00%,166.25,6.5,16,4.5,24,4.5,5,0,10,198.16,1.00%
Chicago White Sox,29,-28.70%,90.97,6.5,16,3,14,3.75,23,4,17.99,222.98,-13.80%
St. Louis Cardinals,33.57,1.90%,73.97,6.75,12,5.25,21,4.25,10,2.5,15.99,224.76,0.70%
Miami Marlins,29.62,55.40%,195.81,8,16,4.5,24,6,15,5,19.99,242.27,42.40%
Houston Astros,30.09,-2.40%,51.24,5,14,4.5,21,4.75,15,4,16.99,224.33,1.30%
New York Mets,27.24,-15.50%,91.76,5.75,12,4.5,24,6,20,5,18.99,230.44,-4.70%
Minnesota Twins,33.04,5.00%,71.08,7,20,4,20,3.75,6,3,17.99,225.14,0.00%
Detroit Tigers,31,5.70%,76.88,6.75,16,4.25,20,5.5,5,5,20.99,233.49,7.00%
Los Angeles Dodgers,23.22,-24.10%,222.38,6.25,16,5.25,16,5,15,5,20.99,213.36,-9.70%
Seattle Mariners,26.4,0.00%,56.98,5.5,12,2.5,12,3.5,17,3,15.99,195.57,0.00%
Colorado Rockies,20.55,5.40%,38,6,16,3.25,18,4.75,8,5,20,184.2,14.40%
Los Angeles Angels,19.71,4.10%,74.21,4.5,14,3,14,3,10,3,15.99,159.82,8.40%
Texas Rangers,20.49,10.10%,50.2,6.5,16,3.5,18,4.75,10,5,17.99,183.93,7.30%
Oakland Athletics,21.64,0.60%,46.28,5,14,2.75,12,3.5,17,5,18.99,186.55,4.70%
Milwaukee Brewers,24.01,8.60%,42.53,5.75,16,2.5,12,3.25,9,0,15.99,171.52,6.90%
Kansas City Royals,21.84,15.20%,92.38,6,16,4,22,4,6,5,18.99,185.33,5.40%
Atlanta Braves,16.69,-13.90%,43.46,7,16,4.5,22,4.5,15,0,19.99,171.74,-4.10%
Baltimore Orioles,23.89,0.00%,43.9,6.25,18,2,16,25,8,5,15.99,176.04,1.10%
Cincinnati Reds,20.49,-0.30%,59.56,5.5,12,1,12,1,17,4,19.99,165.94,2.30%
Pittsburgh Pirates,16.11,5.30%,49.38,5,16,3,16,3,10,0,21.99,152.41,3.20%
Cleveland Indians,20.42,10.40%,65.93,5.5,12,5,24,4.25,12,0,15.99,173.66,1.60%
Tampa Bay Rays,19.83,2.10%,82.31,5,14,2,12,5,0,0,17.99,153.3,2.40%
San Diego Padres,15.67,1.40%,37.83,5,14,4,22,4,8,0,18.99,150.66,0.60%
Arizona Diamondbacks,15.74,0.00%,58.28,4,14,4,14,2.75,10,0,18.99,145.94,2.10%
