Team,Avg. Ticket,Pct. Change,Avg. Premium Ticket,Beer,Beer Oz.,Soft Drink,Soft Drink Oz.,Hot Dog,Parking,Program,Cap,FCI,Pct. Change
Boston Red Sox,$53.38 ,0.00%,$172.51 ,$7.25 ,12,$4.00 ,20,$4.50 ,$27.00 ,$5.00 ,$18.99 ,$336.99 ,0.00%
New York Yankees,51.55,0.00%,305.11,6,12,3,12,3,35,5,25,324.3,0.00%
Chicago Cubs,44.55,-3.80%,106.88,7.25,16,3.5,15,4.5,25,5,20,298.2,-0.70%
Philadelphia Phillies,37.42,0.00%,79.82,7.75,21,4,20,3.75,15,5,17.99,257.16,0.00%
Toronto Blue Jays,32.98,29.60%,83.33,7.37,14,5.08,24,5.59,15.25,4.49,20.32,254.21,14.40%
San Francisco Giants,30.09,10.60%,86.63,6.75,16,4.5,16,5,20,5,18,237.87,7.80%
Washington Nationals,35.24,15.40%,192.89,8.25,16,4.75,24,5,10,0,15,236.46,19.30%
Chicago White Sox,26.05,-10.20%,86.94,6.5,16,4.75,24,3.75,20,4,25.99,231.18,3.70%
St. Louis Cardinals,33.11,3.70%,77.26,6.75,12,5.25,21,4.25,10,2.5,16,230.94,2.70%
Miami Marlins,29.27,-4.00%,116.18,8,20,4.5016,16,6,15,0,19.99,230.05,-5.10%
Houston Astros,30.09,0.00%,51.24,5,14,4.5,21,4.75,15,4,16.99,224.33,0.00%
New York Mets,25.3,-7.10%,83.78,5.75,12,5,16,6.25,20,5,18,223.7,-2.90%
Minnesota Twins,32.59,-1.40%,74.18,7.5,20,4.5,20,4,6,3,15,221.36,-1.70%
Detroit Tigers,26.36,12.00%,70.65,6.75,16,4.25,20,5.5,5,5,20.99,207.42,11.20%
Los Angeles Dodgers,22.37,-3.30%,222.38,6.25,16,5.25,16,5,10,5,20.99,204.95,-3.90%
Seattle Mariners,28.45,7.80%,126.82,5.5,12,2.5,12,3.5,17,3,15.99,203.78,4.20%
Colorado Rockies3,23.65,0.10%,46.86,6,16,3.25,18,4.75,8,5,20,196.6,0.10%
Los Angeles Angels,27.54,23.40%,76.47,4.5,16,2.75,12,4.5,10,3,16,196.16,34.90%
Texas Rangers,22.54,10.00%,58.16,5,16,4.5,20,5,12,5,17.99,196.13,6.60%
Oakland Athletics,22.12,2.20%,46.64,5,14,2.75,12,3.5,17,5,15,180.48,-3.30%
Milwaukee Brewers,24.95,3.90%,43.22,6,16,2.5,12,3.5,9,0,16,176.8,3.10%
Kansas City Royals,19.83,-10.10%,79.06,6.5,16,5,22,5,10,0,15,172.32,-7.00%
Atlanta Braves,17.32,3.80%,46.74,7.25,16,4.5,20,4.5,15,0,18,170.78,-4.60%
Baltimore Orioles,23.89,0.00%,43.9,6.75,18,1.5,12,1.5,8,5,15,169.06,-4.00%
Cincinnati Reds,21.35,3.60%,57.94,5.5,12,1,12,1,17,4,18,165.39,-0.30%
Pittsburgh Pirates,17.21,6.80%,57.3,5.5,16,3.25,16,3.25,15,0,22,164.84,8.20%
Cleveland Indians,19.59,-4.10%,56.17,4,12,3,12,3,12,1,16.5,157.36,-9.40%
Tampa Bay Rays,20.39,2.80%,83.98,5,12,2,12,5,0,0,17.99,155.54,1.50%
San Diego Padres,15.99,3.50%,39.11,5,14,4,22,4,8,0,18.99,151.94,0.80%
Arizona Diamondbacks,16.89,7.30%,51.59,4,14,4.25,24,2.75,10,0,19,151.55,3.80%
