Team,Avg. Ticket,Pct. Change,Avg. Premium Ticket,Beer,Beer Oz,Soft Drink,Soft Drink Oz.,Hot Dog,Parking,Cap,FCI,Change
Boston Red Sox,52.34,0,180.37,7.75,12,5,16,5.25,35,25,350.86,0.03
New York Yankees,51.55,0,305.39,6,12,3,12,3,35,25,337.2,0
Chicago Cubs,44.81,0.015,113.48,7.75,16,4.5,15,5.75,25,20,300.73,0.017
Philadelphia Phillies,37.42,0,83.08,7.75,21,4,20,3.75,16,20,252.18,1.6
San Francisco Giants,33.78,0.068,95.07,7,14,4.75,16,5.5,21,15,241.13,0.051
"
St. Louis Cardinals",34.2,0.011,83.55,5,12,5.25,21,4.25,20,16,236.81,3.5
Washington Nationals,36.02,0.022,111.95,6.5,16,5,24,5.25,10,12,232.08,0.018
"
Minnesota Twins",32.59,0,74.18,7.5,20,5,20,4.5,6,20,229.36,0.065
Miami Marlins,28.96,0.072,167.14,6,12,4.5,24,6,15,19.99,224.83,0.017
"
Houston Astros",31.82,0.137,99.8,5,14,4.5,21,4.75,15,14,220.28,0.06
New York Mets,25.3,0,83.78,5.75,12,5,16,6.25,22,19.99,219.68,0
"
Los Angeles Dodgers",28.61,0.109,222.13,6.25,20,6,24,5.5,10,18,218.94,0.054
Detroit Tigers,29.01,0.028,73.72,5,12,4.25,16,4.5,20,16,213.03,0.015
"
Kansas City Royals",29.76,0.203,105.08,6.5,16,5,22,5,10,15,212.04,0.105
Seattle Mariners,31,0.09,206,6,12,4.5,16,4.5,20,10,212,0.051
Toronto Blue Jays,25.14,0,58.18,6.79,14,4.75,24,4.98,22.64,16.29,208.28,-0.001
"
Chicago White Sox",26.05,0,88.15,6.5,16,4.75,24,4,20,17.99,208.18,0.03
Colorado Rockies,23.65,0,47.39,6,16,3.5,18,4.75,13,22,196.6,0.026
"
Oakland Athletics",24,0.051,52,5,12,4.5,16,5.25,20,15,195,0.024
Texas Rangers,23.64,0.004,62.77,5,16,4.5,20,5,12,17.99,190.54,-0.013
Los Angeles Angels,27.54,0.005,76.74,4.5,16,2.75,12,4.5,10,16,190.16,0.003
Milwaukee Brewers,26.32,0.054,46.16,6,16,2.5,12,3.5,11,15,182.28,0.031
Pittsburgh Pirates,19.99,0.091,61.84,5.5,16,3.25,16,3.25,15,22,175.95,0.039
Atlanta Braves,19.14,0.033,51.33,7.25,16,4.75,22,4.75,15,15,174.06,0.014
Cincinnati Reds,22.03,0,66.43,5.25,12,1,12,1,20,20,166.62,0.041
Cleveland Indians,22.38,0.05,59.5,4,12,3,12,3,12,16.5,166.52,0.026
Baltimore Orioles,24.97,0,44.93,6.75,16,1.5,12,1.5,8,15,163.39,0
Tampa Bay Rays,21.9,0.042,88.79,5,12,5,22,5,0,10,157.6,-0.015
San Diego Padres,16.37,0,41.18,5,14,4,22,4,8,18.99,153.45,0
Arizona Diamondbacks,17.98,0,52.14,4,14,1.5,24,2.75,10,9.99,126.89,0
