Team,Avg. Ticket,Pct. Change,Avg. Premium Ticket,Beer,Beer Oz.,Soft Drink,Soft Drink Oz.,Hot Dog,Parking,Cap,FCI,Pct. Change
Boston Red Sox,$54.79 ,4.70%,$180.37 ,$7.75 ,12,$5.00 ,16,$5.25 ,$35.00 ,$25.00 ,$360.66 ,2.80%
New York Yankees,$51.55 ,0.00%,$305.39 ,$6.00 ,12,$3.00 ,12,$3.00 ,$35.00 ,$25.00 ,$337.20 ,0.00%
Chicago Cubs,$51.33 ,14.60%,$129.55 ,$7.50 ,16,$3.75 ,15,$5.50 ,$25.00 ,$15.00 ,$312.32 ,3.90%
Philadelphia Phillies,$41.50 ,10.90%,$96.97 ,$7.75 ,21,$4.00 ,20,$3.75 ,$16.00 ,$15.00 ,$258.50 ,2.50%
San Francisco Giants,$35.76 ,5.90%,$98.51 ,$7.50 ,14,$4.75 ,16,$5.75 ,$25.00 ,$15.00 ,$255.04 ,5.80%
St. Louis Cardinals,$35.24 ,3.00%,$85.96 ,$5.00 ,12,$5.50 ,21,$4.75 ,$20.00 ,$16.00 ,$243.96 ,3.00%
Houston Astros,$37.25 ,17.10%,$107.24 ,$5.00 ,14,$4.50 ,21,$4.75 ,$15.00 ,$14.00 ,$242.00 ,9.90%
Washington Nationals,$36.59 ,1.60%,$115.02 ,$6.50 ,16,$5.00 ,16,$5.25 ,$10.00 ,$12.00 ,$234.36 ,1.00%
Los Angeles Dodgers,$31.90 ,11.50%,$136.95 ,$6.25 ,20,$6.00 ,24,$6.00 ,$10.00 ,$18.00 ,$234.10 ,6.90%
Toronto Blue Jays,$31.01 ,23.30%,$68.37 ,$6.79 ,14,$4.75 ,24,$4.98 ,$22.64 ,$16.29 ,$231.76 ,11.30%
Chicago White Sox,$29.55 ,13.40%,$98.47 ,$6.50 ,16,$4.75 ,24,$4.00 ,$20.00 ,$19.65 ,$229.50 ,10.20%
New York Mets,$26.02 ,2.80%,$86.18 ,$5.75 ,12,$5.00 ,16,$6.25 ,$23.00 ,$19.99 ,$223.56 ,1.80%
Detroit Tigers,$28.88 ,-0.40%,$74.90 ,$5.00 ,12,$4.50 ,16,$4.75 ,$20.00 ,$16.00 ,$214.52 ,0.70%
Miami Marlins,$28.31 ,-2.20%,$174.93 ,$6.00 ,12,$4.75 ,24,$6.25 ,$15.00 ,$14.99 ,$214.22 ,-4.70%
Minnesota Twins,$33.28 ,2.10%,$75.43 ,$7.50 ,20,$4.50 ,20,$4.00 ,$6.00 ,$12.00 ,$212.12 ,-7.50%
Los Angeles Angels,$32.70 ,18.70%,$82.79 ,$4.50 ,16,$2.75 ,12,$4.50 ,$10.00 ,$16.00 ,$210.80 ,10.90%
Seattle Mariners,$28.75 ,-7.30%,$126.82 ,$6.00 ,16,$4.75 ,16,$4.75 ,$20.00 ,$12.00 ,$209.00 ,-1.40%
Texas Rangers,$23.64 ,0.00%,$62.77 ,$6.00 ,16,$5.25 ,20,$6.00 ,$17.00 ,$18.00 ,$204.56 ,7.40%
Kansas City Royals,$26.88 ,-9.70%,$114.73 ,$6.50 ,16,$5.00 ,22,$5.00 ,$12.00 ,$15.00 ,$202.52 ,-4.50%
Oakland Athletics,$24.46 ,1.90%,$59.69 ,$5.00 ,12,$4.75 ,16,$5.50 ,$20.00 ,$15.00 ,$198.84 ,2.00%
Pittsburgh Pirates,$29.96 ,49.90%,$61.84 ,$5.50 ,16,$3.25 ,16,$3.25 ,$15.00 ,$22.00 ,$195.84 ,11.30%
Colorado Rockies,$23.99 ,1.40%,$48.51 ,$3.00 ,12,$3.50 ,18,$5.00 ,$14.00 ,$22.00 ,$193.96 ,-1.30%
Milwaukee Brewers,$26.32 ,0.00%,$46.16 ,$6.00 ,16,$3.00 ,12,$5.00 ,$11.00 ,$15.00 ,$190.28 ,4.40%
Baltimore Orioles,$29.96 ,20%,$50.53 ,$6.75 ,16,$1.50 ,12,$1.50 ,$8.00 ,$15.00 ,$183.34 ,12.20%
San Diego Padres,$23.71 ,44.80%,$49.81 ,$5.00 ,14,$4.00 ,22,$4.00 ,$8.00 ,$18.99 ,$182.82 ,19.10%
Cleveland Indians,$25.61 ,13.50%,$63.25 ,$4.00 ,12,$3.00 ,12,$3.00 ,$12.00 ,$16.50 ,$179.44 ,0.00%
Atlanta Braves,$19.38 ,1.30%,$51.91 ,$7.75 ,16,$5.25 ,20,$4.75 ,$15.00 ,$15.00 ,$178.02 ,2.30%
Cincinnati Reds,$22.01 ,-0.10%,$62.50 ,$5.25 ,14,$1.00 ,12,$1.00 ,$20.00 ,$20.00 ,$166.54 ,0.00%
Tampa Bay Rays,$21.04 ,-3.90%,$92.45 ,$5.00 ,12,$5.00 ,22,$5.00 ,$0.00 ,$10.00 ,$154.16 ,-2.20%
Arizona Diamondbacks,$18.53 ,3.10%,$54.67 ,$4.00 ,14,$2.00 ,12,$3.00 ,$10.00 ,$9.99 ,$132.10 ,4.10%
,,,,1,,,,,,,,
